aaa			Ghotuo
aab			Alumu-Tesu
aac			Ari
aad			Amal
aae			Albanian, Arbëreshë
aaf			Aranadan
aai			Arifama-Miniafia
aak			Ankave
aal			Afade
aam			Aramanik
aan			Anambé
aao			Arabic, Algerian Saharan Spoken
aap			Arára, Pará
aaq			Abnaki, Eastern
aar	aar	aa	Afar
aas			Aasáx
aat			Albanian, Arvanitika
aau			Abau
aaw			Solong
aax			Mandobo Atas
aay			Aariya
aaz			Amarasi
aba			Abé
abb			Bankon
abc			Ayta, Ambala
abd			Agta, Camarines Norte
abe			Abnaki, Western
abf			Abai Sungai
abg			Abaga
abh			Arabic, Tajiki Spoken
abi			Abidji
abj			Aka-Bea
abk	abk	ab	Abkhazian
abl			Abung
abm			Abanyom
abn			Abua
abo			Abon
abp			Ayta, Abenlen
abq			Abaza
abr			Abron
abs			Malay, Ambonese
abt			Ambulas
abu			Abure
abv			Arabic, Baharna Spoken
abw			Pal
abx			Inabaknon
aby			Aneme Wake
abz			Abui
aca			Achagua
acb			Áncá
acc			Achí, Cubulco
acd			Gikyode
ace	ace		Achinese
acf			Saint Lucian Creole French
ach	ach		Acoli
aci			Aka-Cari
ack			Aka-Kora
acl			Akar-Bale
acm			Arabic, Mesopotamian Spoken
acn			Achang
acp			Acipa, Eastern
acq			Arabic, Ta'izzi-Adeni Spoken
acr			Achí, Rabinal
acs			Acroá
act			Achterhoeks
acu			Achuar-Shiwiar
acv			Achumawi
acw			Arabic, Hijazi Spoken
acx			Arabic, Omani Spoken
acy			Arabic, Cypriot Spoken
acz			Acheron
ada	ada		Adangme
adb			Adabe
add			Dzodinka
ade			Adele
adf			Arabic, Dhofari Spoken
adg			Andegerebinha
adh			Adhola
adi			Adi
adj			Adioukrou
adl			Adi, Galo
adn			Adang
ado			Abu
adp			Adap
adq			Adangbe
adr			Adonara
ads			Adamorobe Sign Language
adt			Adynyamathanha
adu			Aduge
adw			Amundava
adx			Tibetan, Amdo
ady	ady		Adyghe; Adygei
aea			Areba
aeb			Arabic, Tunisian Spoken
aec			Arabic, Saidi Spoken
aed			Argentine Sign Language
aee			Pashayi, Northeast
aek			Haeke
ael			Ambele
aem			Arem
aen			Armenian Sign Language
aeq			Aer
aer			Arrernte, Eastern
aes			Alsea
aew			Ambakich
aex			Amerax
aey			Amele
afb			Arabic, Gulf Spoken
afe			Putukwam
afh	afh		Afrihili
afi			Akrukay
afn			Defaka
afo			Eloyi
afr	afr	af	Afrikaans
afs			Afro-Seminole Creole
aft			Afitti
afu			Awutu
afz			Obokuitai
aga			Aguano
agb			Legbo
agc			Agatu
agd			Agarabi
age			Angal
agf			Arguni
agg			Angor
agh			Ngelima
agi			Agariya
agj			Argobba
agk			Agta, Isarog
agl			Fembe
agm			Angaatiha
agn			Agutaynen
ago			Tainae
agp			Paranan
agq			Aghem
agr			Aguaruna
ags			Esimbi
agt			Agta, Central Cagayan
agu			Aguacateco
agv			Agta, Remontado
agw			Kahua
agx			Aghul
agy			Alta, Southern
agz			Agta, Mt. Iriga
aha			Ahanta
ahb			Axamb
ahe			Ahe
ahg			Qimant
ahh			Aghu
ahi			Aizi, Tiagbamrin
ahk			Akha
ahl			Igo
ahm			Aizi, Mobumrin
ahn			Àhàn
aho			Ahom
ahp			Aizi, Aproumu
ahr			Ahirani
ahs			Ashe
aht			Ahtena
aia			Arosi
aib			Ainu (China)
aic			Ainbai
aid			Alngith
aie			Amara
aif			Agi
aig			Antigua and Barbuda Creole English
aih			Ai-Cham
aii			Assyrian Neo-Aramaic
aij			Lishanid Noshan
aik			Ake
ail			Aimele
aim			Aimol
ain	ain		Ainu (Japan)
aio			Aiton
aip			Burumakok
aiq			Aimaq
air			Airoran
ais			Amis, Nataoran
ait			Arikem
aix			Aigon
aiy			Ali
aiz			Aari
aja			Aja (Sudan)
ajg			Aja (Benin)
aji			Ajië
ajp			Arabic, South Levantine Spoken
ajt			Arabic, Judeo-Tunisian
aju			Arabic, Judeo-Moroccan
ajw			Ajawa
ajz			Amri
aka	aka	ak	Akan
akb			Batak Angkola
akc			Mpur
akd			Ukpet-Ehom
ake			Akawaio
akf			Akpa
akg			Anakalangu
akh			Angal Heneng
aki			Aiome
akj			Aka-Jeru
akk	akk		Akkadian
akl			Aklanon
akm			Aka-Bo
akn			Amikoana
ako			Akurio
akp			Siwu
akq			Ak
akr			Araki
aks			Akaselem
akt			Akolet
aku			Akum
akv			Akhvakh
akw			Akwa
akx			Aka-Kede
aky			Aka-Kol
akz			Alabama
ala			Alago
alc			Qawasqar
ald			Alladian
ale	ale		Aleut
alf			Alege
alh			Alawa
ali			Amaimon
alj			Alangan
alk			Alak
all			Allar
alm			Amblong
aln			Albanian, Gheg
alo			Larike-Wakasihu
alp			Alune
alq			Algonquin
alr			Alutor
als			Albanian, Tosk
alt	alt		Altai, Southern
alu			'Are'are
alw			Alaba
alx			Alatil
aly			Alyawarr
alz			Alur
ama			Amanayé
amb			Ambo
amc			Amahuaca
amd			Amapá Creole
ame			Yanesha'
amf			Hamer-Banna
amg			Amarag
amh	amh	am	Amharic
ami			Amis
amj			Amdang
amk			Ambai
aml			War
amm			Ama (Papua New Guinea)
amn			Amanab
amo			Amo
amp			Alamblak
amq			Amahai
amr			Amarakaeri
ams			Amami-Oshima, Southern
amt			Amto
amu			Amuzgo, Guerrero
amv			Ambelau
amw			Western Neo-Aramaic
amx			Anmatyerre
amy			Ami
amz			Atampaya
ana			Andaqui
anb			Andoa
anc			Ngas
and			Ansus
ane			Xârâcùù
anf			Animere
ang	ang		English, Old (ca.450-1100)
anh			Nend
ani			Andi
anj			Anor
ank			Goemai
anl			Anu
anm			Anal
ann			Obolo
ano			Andoque
anp	anp		Angika
anq			Jarawa (India)
anr			Andh
ans			Anserma
ant			Antakarinya
anu			Anuak
anv			Denya
anw			Anaang
anx			Andra-Hus
any			Anyin
anz			Anem
aoa			Angolar
aob			Abom
aoc			Pemon
aod			Andarum
aoe			Angal Enen
aof			Bragat
aog			Angoram
aoh			Arma
aoi			Anindilyakwa
aoj			Mufian
aok			Arhö
aol			Alor
aom			Ömie
aon			Arapesh, Bumbita
aor			Aore
aos			Taikat
aot			A'tong
aox			Atorada
aoz			Uab Meto
apb			Sa'a
apc			Arabic, North Levantine Spoken
apd			Arabic, Sudanese Spoken
ape			Bukiyip
apg			Ampanang
aph			Athpariya
api			Apiacá
apj			Apache, Jicarilla
apk			Apache, Kiowa
apl			Apache, Lipan
apm			Apache, Mescalero-Chiricahua
apn			Apinayé
apo			Apalik
app			Apma
apq			A-Pucikwar
apr			Arop-Lukep
aps			Arop-Sissano
apt			Apatani
apu			Apurinã
apw			Apache, Western
apx			Aputai
apy			Apalaí
apz			Safeyoka
aqc			Archi
aqg			Arigidi
aqm			Atohwaim
aqn			Alta, Northern
aqp			Atakapa
